Прізвище,Ім'я,По батьковій,Стать,Дата народження,Посада,Місце проживання,Адрес проживання,Телефон,Email
Овчаренко,Ада,Трохимівна,female,1989.10.6,Дерун,шосе Сьом,"шосе Сьома, буд. 5 кв. 2, Каховка, 47768",380797637642,ivan52@example.net
Тимчук,Семен,Кирилович,male,1998.2.5,Графік,вулиця Елеваторн,"вулиця Елеваторна, буд. 5, Стрий, 87980",380519544854,mzhadan@example.com
Гаврилів,Мартин,Богуславович,male,1966.4.22,Конструктор,сквер Аеропортівський 6-,"сквер Аеропортівський 6-й, буд. 6 кв. 87, Єнакієве, 60629",380980849492,konopliamarta@example.org
Жадан,Ольга,Семенівна,female,1947.3.15,Астроном,площа Радісн,"площа Радісна, буд. 68, Гадяч, 35235",380533816578,dbandurka@example.net
Їжакевич,Богуслав,Демидович,male,1979.3.9,Фрілансер,сквер Академічни,"сквер Академічний, буд. 154, Броди, 84646",380546446155,ievaavdieienko@example.net
Шухевич,Василина,Адамівна,female,1984.7.8,Євнух,провулок Пішонівськ,"провулок Пішонівська, буд. 4 кв. 548, Переяслав, 76571",380932951991,snizhanaiukhymenko@example.org
Удовенко,Валентин,Давидович,male,1965.2.7,Кіноактор,площа Суворовськ,"площа Суворовська, буд. 24, Заставна, 90892",380747386093,ylevchenko@example.net
Тесленко,Давид,Вікторович,male,1976.6.16,Мистецтвознавець,узвіз Вєтров,"узвіз Вєтрова, буд. 7 кв. 8, Ланівці, 55885",380862043889,valentyn73@example.org
Зінкевич,Людмила,Омелянівна,female,1955.1.11,Золотар,набережна Радісни,"набережна Радісний, буд. 56, Дубровиця, 90232",380825530048,serhiiiatsenko@example.com
Парасюк,Олесь,Владиславович,male,1954.4.20,Гінеколог,узвіз Коротки,"узвіз Короткий, буд. 63 кв. 5, Нове Давидково, 62689",380940895743,ievdokymenkoopanas@example.org
Литвин,Анжела,Вʼячеславівна,female,1999.3.8,Кіноактор,площа Косяченка Олексі,"площа Косяченка Олексія, буд. 756 кв. 747, Щастя , 66147",380570748886,hanna78@example.net
Салій,Леонтій,Валерійович,male,1970.7.1,Хімік,парк Економічни,"парк Економічний, буд. 3 кв. 74, Вознесенівка, 97506",380587389245,zhaivoronokhrim@example.org
Цюцюра,Петро,Леонтійович,male,1961.4.15,Історик,набережна Пересипська 7-м,"набережна Пересипська 7-ма, буд. 6, Очаків, 18863",380845249161,tverdokhlibbohdanna@example.net
Ткаченко,Юстина,Лукʼянівна,female,1956.10.4,Журналіст,площа Естафетн,"площа Естафетна, буд. 375, Гайворон, 63568",380633524594,bashpolchenkoalla@example.org
Давиденко,Опанас,Опанасович,male,1949.5.9,Громадський діяч,вулиця Велика Садов,"вулиця Велика Садова, буд. 8 кв. 082, Біляївка, 52469",380643661410,somkopanteleimon@example.net
Доценко,Мілена,Ааронівна,female,1972.4.26,Складальник,шосе Асєєва Юрі,"шосе Асєєва Юрія, буд. 5 кв. 6, Угнів, 64807",380823189581,kolisnychenkotetiana@example.com
Шутько,Віктор,Остапович,male,1948.3.21,Флорист,вулиця Льва Симиренк,"вулиця Льва Симиренка, буд. 79, Корець, 71917",380936473537,trokhym88@example.com
Жадан,Аркадій,Варфоломійович,male,1970.6.23,Випробувач,провулок Спаськи,"провулок Спаський, буд. 695 кв. 5, Буринь, 79476",380845795786,npylypenko@example.com
Мазур,Ганна,Іллівна,female,1950.7.30,Дантист,проспект Аеропортівський 5-,"проспект Аеропортівський 5-й, буд. 2 кв. 346, Марганець , 72465",380847964026,kandriichuk@example.net
Верес,Павло,Яремович,male,1949.6.25,Няня,сквер Об'їзна дорог,"сквер Об'їзна дорога, буд. 980 кв. 96, Прилуки, 27929",380677050092,parmenazhazha@example.org
Непорожній,Єлисавета,Орхипівна,female,1960.5.9,Різноробочий,шосе Скворцов,"шосе Скворцова, буд. 6 кв. 231, Герца, 21891",380975771760,rnosenko@example.net
Верхола,Богуслав,Станіславович,male,1976.3.20,Економіст,узвіз Стельмах,"узвіз Стельмаха, буд. 96, Черкаси, 93374",380987606157,maryna54@example.com
Самойленко,Стефан,Опанасович,male,1973.1.22,Геолог,парк Різовськ,"парк Різовська, буд. 495, Хмельницький, 84819",380535707925,dannaiatseniuk@example.com
Юхименко,Ірина,Макарівна,female,1942.11.9,Конструктор,узвіз Санаторни,"узвіз Санаторний, буд. 4 кв. 8, Петрово-Красносілля, 04391",380726474587,kamillazubko@example.com
Рубець,Роман,Миронович,male,1957.4.21,Державний службовець,набережна Псковськ,"набережна Псковська, буд. 2 кв. 5, Новояворівськ, 14844",380620262200,ukhorishko@example.com
Юрчук,Марта,Григоріївна,female,1958.12.11,Парфюмер,узвіз Садова 1-ш,"узвіз Садова 1-ша, буд. 365 кв. 851, Верхівцеве, 21748",380501778242,borys22@example.com
Гриценко,Феофан,Тарасович,male,1943.3.19,Краєзнавець,парк Колонтаївськ,"парк Колонтаївська, буд. 70 кв. 67, Світлодарськ, 49624",380695779348,dutkaliudmyla@example.com
Теличенко,Макар,Святославович,male,2000.12.22,Маркетолог,парк Іванівськ,"парк Іванівська, буд. 577, Долинська, 57125",380662160918,fartushniakodarka@example.com
Адаменко,Анастасія,Трохимівна,female,2004.8.2,Ходить в університет,шосе Саксаганськог,"шосе Саксаганського, буд. 16 кв. 25, Молочанськ, 22097",380910996441,fviter@example.org
Фастенко,Антон,Богданович,male,1976.3.19,Сантехнік,набережна Картамишевськи,"набережна Картамишевський, буд. 3 кв. 14, Дубляни, 50069",380706097935,alevtyngerus@example.net
Атаманчук,Пріска,Юстимівна,female,1965.10.20,Живописець,площа Прорізн,"площа Прорізна, буд. 0, Житомир, 51030",380903804822,panteleimonaleksiuk@example.com
Журба,Гліб,Сергійович,male,1963.7.23,Вчитель,набережна Шкільний аеродро,"набережна Шкільний аеродром, буд. 15, Баранівка, 80517",380779448446,maryna54@example.org
Зайченко,Ігор,Костянтинович,male,1953.9.28,Електрик,набережна Чернігівськ,"набережна Чернігівська, буд. 175, Кам'янець-Подільський, 78500",380772076433,myron30@example.org
Приходько,Людмила,Андріївна,female,1985.2.20,Промисловець,узвіз Єлін,"узвіз Єліна, буд. 78 кв. 79, Красилів, 15192",380761758367,zasenkohordii@example.com
Охріменко,Георгій,Станіславович,male,2002.2.26,Астроном,узвіз Чорноморський 10-,"узвіз Чорноморський 10-й, буд. 02, Хоростків, 92553",380795090327,smykprokhir@example.org
Сірко,Амалія,Петрівна,female,1999.2.13,Агроном,узвіз Мічурін,"узвіз Мічуріна, буд. 247, Гнівань, 88573",380555480951,vshovkoplias@example.net
Сацюк,Венедикт,Ярославович,male,2001.6.5,Будник,сквер Капітана Гавріков,"сквер Капітана Гаврікова, буд. 279, Роздільна, 12748",380578534499,bashpolchenkomaksym@example.org
Бабійчук,Ігор,Варфоломійович,male,1997.6.3,Мовознавець,проспект Миколи Плигун,"проспект Миколи Плигуна, буд. 894, Долинська, 52720",380606105761,teodor71@example.org
Чорновіл,Ганна,Аркадіївна,female,1953.7.16,Кінокритик,вулиця Демократичн,"вулиця Демократична, буд. 1, Жидачів, 72039",380944007063,shvedchenkomyroslav@example.net
Корбут,Захар,Хомович,male,1984.5.5,Кінокритик,шосе Суднобудівн,"шосе Суднобудівна, буд. 88 кв. 070, Шостка, 65442",380672988877,shvedchenkoliubov@example.com
Батіг,Маруся,Давидівна,female,1980.5.9,Секретар,парк 19-й км Старокиївської дорог,"парк 19-й км Старокиївської дороги, буд. 2 кв. 9, Балаклія, 18581",380976063159,nestorshchyrytsia@example.org
Овчаренко,Арсен,Глібович,male,1984.3.29,Палеонтолог,вулиця Просьолочн,"вулиця Просьолочна, буд. 2, Борщів, 01457",380763676949,panteleimonbebeshko@example.org
Гузій,Роман,Олегович,male,2007.3.13,Ходить на підробіток та дошколи,вулиця Москет,"вулиця Москеті, буд. 9 кв. 796, Географія Вільнянська, 74799",380872780745,hryhoriibabii@example.org
Заруба,Роксолана,Вʼячеславівна,female,1949.4.11,Підприємець,сквер Амундсен,"сквер Амундсена, 3-й, буд. 8, Жовті Води, 85998",380871327497,ivan79@example.com
Бгиденко,Євген,Аркадійович,male,1983.4.10,Фотограф,провулок Байкал тупи,"провулок Байкал тупик, буд. 15 кв. 57, Білгород-Дністровський, 61105",380972047926,iaroslav14@example.com
Носаченко,Орися,Мирославівна,female,1956.2.20,Історик,провулок Георгія Гамов,"провулок Георгія Гамова, буд. 283 кв. 95, Рівне, 22758",380712014111,azar02@example.com
Гунько,Максим,Прохорович,male,1972.6.20,Актор,шосе Князівськи,"шосе Князівський, буд. 6, Бердянськ, 62950",380793122807,roksolana42@example.net
Демʼянюк,Теодор,Трохимович,male,1950.9.21,Актор,сквер Осінн,"сквер Осіння, буд. 05, Підгородне, 51807",380630962587,pylypivanenko@example.com
Ребрик,Амалія,Святославівна,female,2002.8.29,Реставратор,сквер Панаса Мирног,"сквер Панаса Мирного, буд. 775, Перемишляни, 41574",380601503746,rubetssofiia@example.com
Прокопович,Веніямин,Семенович,male,1991.3.26,Математик,сквер 12-та Суворовськ,"сквер 12-та Суворовська, буд. 61 кв. 91, Новгород-Сіверський, 55616",380760563762,opanasnikoliuk@example.org
Зінчук,Аніта,Йосипівна,female,1964.2.21,Гицель,парк Таїров,"парк Таїрова, буд. 56, Апостолове, 37484",380693631797,iemelianenkoolena@example.com
Смик,Панас,Георгійович,male,2000.8.24,Медик,узвіз Будівельни,"узвіз Будівельний, буд. 06 кв. 24, Токмак, 21417",380656163821,kamillazinchenko@example.org
Шаповал,Валентин,Павлович,male,1942.4.11,Кур'єр,площа Трамвайн,"площа Трамвайна, буд. 32, Петрово-Красносілля, 13357",380745432876,boleslav32@example.com
Цимбалюк,Наталія,Альбертівна,female,1990.4.2,Клавішник,проспект Авангардн,"проспект Авангардна, буд. 3, Миронівка, 24454",380590903444,mpanchuk@example.org
Цибуленко,Михайло,Мирославович,male,1956.5.1,Акушер,проспект Чехов,"проспект Чехова, буд. 90 кв. 8, Іршава, 73637",380729860715,zakharbabiuk@example.org
Закусило,Данна,Марківна,female,1990.3.28,Кушнір,сквер Бокаріуса Микол,"сквер Бокаріуса Миколи, буд. 10, Лутугине, 98813",380888057238,ivanprytula@example.net
Александренко,Ярослав,Євгенійович,male,1951.4.30,Астрофізик,сквер Матроська Слобідк,"сквер Матроська Слобідка, буд. 57, Армянськ, 98268",380774776833,mykytaneporozhnii@example.org
Лесик,Олександр,Орхипович,male,1948.4.30,Біолог,узвіз 4-та Лінія 6-й ст. Люстдорфської дорог,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 195 кв. 0, Білгород-Дністровський, 89797",380704077384,illiadzhun@example.com
Юрчук,Наталія,Остапівна,female,1950.2.25,Журналіст,вулиця Лінія 39-т,"вулиця Лінія 39-та, буд. 532 кв. 2, Кролевець, 69450",380590225328,borys66@example.org
Ірванець,Богдан,Соломонович,male,2004.10.11,Ходить в університет,вулиця Учительськи,"вулиця Учительський, буд. 023 кв. 5, Білогірськ, 80987",380956661992,iryna99@example.net
Батюк,Богданна,Теодорівна,female,1978.11.26,Драматург,вулиця Якутськ,"вулиця Якутська, буд. 7, Лиман , 62032",380619619054,orynademianiuk@example.org
Карпа,Володимир,Святославович,male,1978.1.10,Кур'єр,парк Роздольн,"парк Роздольна, буд. 00 кв. 14, Ірпінь, 41681",380533928051,ibashpolchenko@example.net
Кабаненко,Яків,Венедиктович,male,1983.4.24,Будник,парк Пржевальськог,"парк Пржевальського, буд. 732, Міусинськ, 85632",380712822181,makarenkohordii@example.net
Нестеренко,Ірена,Орхипівна,female,1997.9.19,Реставратор,шосе Деревообробний 4-,"шосе Деревообробний 4-й, буд. 0, Чигирин, 35893",380559223738,chrechko@example.com
Лемешко,Єлисей,Олексович,male,1978.11.14,Літературознавець,площа Рибальськ,"площа Рибальська, буд. 2, Молодогвардійськ, 56026",380992171712,amvrosii54@example.org
Носаченко,Анжела,Володимирівна,female,1990.1.16,Стоматолог,провулок Лютневий 2-,"провулок Лютневий 2-й, буд. 422 кв. 41, Алмазна, 57467",380652742376,anton82@example.net
Рак,Олег,Леопольдович,male,1976.8.27,Публіцист,парк Трамвайн,"парк Трамвайна, буд. 568 кв. 950, Маріуполь, 68193",380678740620,lysenkovasylyna@example.net
Яремків,Павло,Васильович,male,1939.1.7,Сценарист,сквер 16-та Лінія 6-й ст. Люстдорфської дорог,"сквер 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 393, Путивль, 69503",380611477905,orest66@example.net
Венгринович,Єва,Богодарівна,female,1978.9.19,Мінералог,набережна Чорноморський 13-,"набережна Чорноморський 13-й, буд. 10, Тячів, 79821",380585363180,oleksa65@example.org
Яременко,Петро,Остапович,male,1949.12.25,Мовознавець,парк Шолохов,"парк Шолохова, буд. 6, Пирятин, 96410",380892595198,ielysei30@example.net
Остапчук,Ольга,Костянтинівна,female,1995.11.17,Диригент,шосе Глазунова 2-,"шосе Глазунова 2-й, буд. 30, Барвінкове, 40802",380670294294,zharkofedir@example.com
Чайка,Петро,Веніяминович,male,1974.5.5,Громадський діяч,провулок Сімферопольськ,"провулок Сімферопольська, буд. 765, Вознесенськ, 25333",380923197237,znesterenko@example.net
Балабан,Спас,Романович,male,1964.4.28,Сценарист,провулок Книжкови,"провулок Книжковий, буд. 132 кв. 74, Жданівка, 61547",380992022924,enalyvaiko@example.org
Дрозденко,Сніжана,Несторівна,female,1986.11.1,Професор,сквер Садови,"сквер Садовий, буд. 2, Миколаїв, 53204",380935731976,maksym18@example.com
Василечко,Борис,Орхипович,male,1987.5.7,Няня,шосе Восьмого березня 2-,"шосе Восьмого березня 2-й, буд. 1 кв. 0, Середина-Буда, 89002",380864630819,parmen16@example.com
Цюпа,Еріка,Петрівна,female,1959.1.5,Локсмайстер,узвіз Шкодова гор,"узвіз Шкодова гора, буд. 7 кв. 611, Славута, 52226",380729707272,demydsirobaba@example.com
Гаврилів,Демʼян,Хомович,male,2006.6.17,Клавішник,шосе Військовий узві,"шосе Військовий узвіз, буд. 977 кв. 51, Тростянець, 21737",380746481296,shutkoanastasiia@example.net
Данильчук,Аврелій,Андрійович,male,1999.4.6,Редактор,проспект Гладков,"проспект Гладкова, буд. 8, Полонне, 92337",380623156722,siaremenko@example.com
Ґалаґан,Лариса,Русланівна,female,1985.7.15,Різноробочий,парк Кренкел,"парк Кренкеля, буд. 335, Здолбунів, 45877",380911800913,nlysenko@example.net
Козак,Мирон,Юстимович,male,1978.7.3,Вчитель,площа Якірни,"площа Якірний, буд. 8 кв. 80, Івано-Франківськ, 96399",380987141958,spas89@example.com
Безбородько,Богуслава,Пилипівна,female,1979.6.17,Гицель,проспект Стовпов,"проспект Стовпова, буд. 225, Шпола, 37770",380652240867,zakhar74@example.net
Романець,Лесь,Олесьович,male,1994.2.26,Бухгалтер,сквер Юрія Яновськог,"сквер Юрія Яновського, буд. 60 кв. 32, Комарно, 10961",380897038525,turkalomyron@example.org
Іванченко,Ростислав,Макарович,male,1946.12.17,Біолог,вулиця 3-тя Лінія 6-й ст. Люстдорфської дорог,"вулиця 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 32, Новий Розділ, 11234",380966761990,tymchenkovioletta@example.org
Щербак,Галина,Арсенівна,female,1979.7.1,Паралегал,набережна Килимови,"набережна Килимовий, буд. 129 кв. 693, Дунаївці, 89144",380550801410,qlahoda@example.com
Стельмах,Левко,Симонович,male,1940.7.22,Кінорежисер,сквер Рекордни,"сквер Рекордний, буд. 90, Ірміно, 80522",380761585023,vlysenko@example.org
Усик,Ярослава,Несторівна,female,1956.9.17,Драматург,площа Бузкови,"площа Бузковий, буд. 4, Коростишів, 41515",380685558425,iustym56@example.net
Товстоліс,Степан,Захарович,male,1971.2.13,Гицель,сквер Утьосов,"сквер Утьосова, буд. 89, Бровари, 87477",380688344263,ierchenkovadym@example.com
Непорожній,Андрій,Йосипович,male,1950.8.21,Конструктор,площа Шевченка пар,"площа Шевченка парк, буд. 76, Алмазна, 13993",380538351232,hskyba@example.net
Охріменко,Василина,Вікторівна,female,1986.7.10,Льотчик,сквер Бітумн,"сквер Бітумна, буд. 594, Кам'янка-Дніпровська, 14064",380601653829,orysiahuz@example.org
Корбут,Гаврило,Венедиктович,male,1954.11.30,Публіцист,шосе Пересипська 5-т,"шосе Пересипська 5-та, буд. 6, Марганець , 43578",380856471289,usykomelian@example.net
Удовенко,Сніжана,Несторівна,female,2002.4.19,Слідчий,провулок Нахімов,"провулок Нахімова, буд. 5 кв. 47, Гірське, 44313",380936839134,panchukzakhar@example.org
Гузій,Валерій,Павлович,male,1976.10.8,Петрограф,проспект Макаров,"проспект Макарова, буд. 9, Чистякове, 19029",380862746210,liurchenko@example.com
Адамчук,Кирило,Мартинович,male,1979.11.2,Петрограф,проспект Богдана Хмельницьког,"проспект Богдана Хмельницького, буд. 61 кв. 71, Дергачі, 43333",380951600971,xchornovil@example.net
Сацюк,Дарина,Францівна,female,1945.8.27,Бібліограф,площа Композитора Ніщинськог,"площа Композитора Ніщинського, буд. 75 кв. 7, Марганець , 10915",380946997569,vashchenko-zakharchenkoirena@example.com
Василашко,Георгій,Алевтинович,male,2000.2.21,Драматург,узвіз Балтський 1-,"узвіз Балтський 1-й, буд. 06 кв. 80, Болехів, 95662",380966743364,fedir79@example.com
Зубко,Віра,Михайлівна,female,1942.10.20,Перекладач,парк Лиманчик 2-й Лінія 11-т,"парк Лиманчик 2-й Лінія 11-та, буд. 9 кв. 798, Миколаївка , 40212",380739043000,alevtynvdovychenko@example.org
Дергач,Микита,Арсенович,male,1997.7.10,Гицель,узвіз Польськ,"узвіз Польська, буд. 763, Генічеськ, 48353",380667470397,hrytsenkoboryslav@example.net
Зінчук,Охрім,Панасович,male,1996.9.17,Астроном,парк Південно-Санаторни,"парк Південно-Санаторний, буд. 2, Білогірськ, 60870",380937502740,iermolenkokhoma@example.com
Башполченко,Ярина,Іванівна,female,1980.9.25,Письменник,узвіз Виноградний тупи,"узвіз Виноградний тупик, буд. 095 кв. 18, Костопіль, 80250",380675258045,ldzhun@example.org
Кальченко,Олесь,Борисович,male,2004.7.19,Ходить в університет,вулиця Лінія 47-м,"вулиця Лінія 47-ма, буд. 94, Хуст, 17457",380779332337,liliiastets@example.com
Фесенко,Соломія,Яремівна,female,2006.2.20,Ходить в університет,шосе Пересипська 5-т,"шосе Пересипська 5-та, буд. 818, Косів, 08746",380618495866,xiukhymenko@example.net
Мамчур,Франц,Сергійович,male,1947.8.24,Провізор,узвіз 7-ма Лінія 6-й ст. Люстдорфської дорог,"узвіз 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 14, Болград, 26594",380775635220,albertkhudobiak@example.net
Перепелиця,Дмитро,Ярославович,male,1999.12.10,Слідчий,парк Слобідськ,"парк Слобідська, буд. 9, Петрово-Красносілля, 21129",380584747904,ntsymbal@example.org
Вдовенко,Емілія,Орхипівна,female,2003.1.7,Різноробочий,набережна Мусін,"набережна Мусіна, буд. 26, Вільнянськ, 93227",380655853905,omishchenko@example.org
Устенко,Олесь,Ігорович,male,1964.5.4,Пілот,шосе Пересипська 9-т,"шосе Пересипська 9-та, буд. 3, Перевальськ, 56275",380882871372,orestbarabash@example.com
Дрозденко,Сніжана,Артемівна,female,1980.5.24,Редактор,узвіз Ремонтн,"узвіз Ремонтна, буд. 98, Мар'їнка, 85595",380676296934,varfolomii30@example.org
Власенко,Мирон,Яковович,male,1967.3.1,Патологоанатом,провулок Лядов,"провулок Лядова, буд. 23, Першотравенськ, 68613",380686849280,mariana81@example.com
Шиян,Трохим,Єлисейович,male,1976.12.5,Громадський діяч,провулок Панченк,"провулок Панченка, буд. 194, Саки , 52426",380595274069,korolenkoieva@example.org
Гоголь,Марина,Болеславівна,female,2005.3.27,Швачка,набережна Обсерваторни,"набережна Обсерваторний, буд. 40, Борислав, 92992",380554490725,okalenychenko@example.net
Затовканюк,Іван,Іванович,male,1953.7.30,Графік,сквер Запорізьк,"сквер Запорізька, буд. 2, Тараща, 44646",380915074301,skorobohatkoviktoriia@example.com
Байдак,Златослава,Марківна,female,2001.8.30,Мінералог,набережна Лінія 25-т,"набережна Лінія 25-та, буд. 51, Охтирка, 77389",380776166802,feofannazarenko@example.net
Калениченко,Мирослав,Віталійович,male,1979.11.23,Фотограф,площа Виноградна 1-ш,"площа Виноградна 1-ша, буд. 3 кв. 134, Здолбунів, 14709",380702325308,havrylivliza@example.org
Салій,Опанас,Яковович,male,1990.11.7,Електромонтажник,набережна Віри Інбе,"набережна Віри Інбер, буд. 7, Бердичів, 42552",380517742890,leontiihaidenko@example.org
Червоненко,Альбіна,Святославівна,female,1979.2.3,Дизайнер,шосе Бучм,"шосе Бучми, буд. 322, Чугуїв, 19575",380725102675,dankoiakiv@example.com
Колодуб,Гордій,Несторович,male,1961.10.29,Дерун,шосе Мирн,"шосе Мирна, буд. 047 кв. 560, Переяслав, 57394",380858563036,nvlasenko@example.com
Ірванець,Марта,Устимівна,female,1971.11.15,Промисловець,проспект Маланов,"проспект Маланова, буд. 45 кв. 70, Глухів, 70406",380625670379,zabarnyibohodar@example.org
Гоголь,Мирон,Аркадійович,male,1948.11.19,Астроном,проспект Студен,"проспект Студена, буд. 07 кв. 662, Баранівка, 42974",380896977260,boryshuz@example.com
Пушкар,Роман,Степанович,male,1947.12.6,Лікар,сквер Псковськи,"сквер Псковський, буд. 104 кв. 9, Бахмач, 43282",380991030017,haidainataliia@example.com
Данченко,Ліза,Зорянівна,female,1957.10.10,Ді-джей,вулиця 6-та Лінія 6-й ст. Люстдорфської дорог,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 37 кв. 3, Полтава, 09479",380836662641,evitruk@example.net
Кабаненко,Миколай,Леонідович,male,1974.6.16,Драматург,сквер Композитора Глинк,"сквер Композитора Глинки, буд. 17, Олександрівськ, 43096",380795656230,daryna97@example.net
Гузь,Алла,Опанасівна,female,1973.3.7,Актор,узвіз Сабанєє,"узвіз Сабанєєв, буд. 1, Маріуполь, 84357",380753983491,oksanacherinko@example.net
Безбородько,Тарас,Бориславович,male,2001.9.16,Диригент,проспект Мелітопольськ,"проспект Мелітопольська, буд. 88 кв. 6, Коростень, 85995",380633591902,tsiupaliudmyla@example.org
Рябошапка,Іван,Юстимович,male,1938.2.15,Ювелір,сквер Лесі Українк,"сквер Лесі Українки, буд. 153 кв. 0, Ходорів, 25448",380718430277,vadymvlasiuk@example.org
Ейбоженко,Валентина,Олегівна,female,1942.5.30,Круп'є,шосе Ашгабатськ,"шосе Ашгабатська, буд. 3, Антрацит , 39577",380706838501,ycherinko@example.com
Тимченко,Хома,Олесьович,male,1984.12.7,Біолог,узвіз Монастирськи,"узвіз Монастирський, буд. 14 кв. 29, Чистякове, 87658",380886617942,omelian31@example.org
Терещук,Михайлина,Несторівна,female,2007.2.27,Ходить до школи,набережна Суриков,"набережна Сурикова, буд. 30 кв. 275, Судова Вишня, 12786",380722519983,kyrylo68@example.org
Дробʼязко,Ігор,Юхимович,male,2003.10.26,Ходить в університет,площа Західний 1-,"площа Західний 1-й, буд. 27 кв. 321, Роздільна, 32534",380937744801,ckalenychenko@example.com
Семенченко,Семен,Владиславович,male,1941.10.25,Астрофізик,парк Український 1-,"парк Український 1-й, буд. 7 кв. 9, Жидачів, 33167",380804160938,zakhar09@example.org
Запорожець,Ірена,Павлівна,female,1985.4.14,Ветеринар,площа Казкови,"площа Казковий, буд. 77, Коростень, 31510",380670868320,rzabashta@example.org
Прокопович,Пармен,Владиславович,male,1994.5.4,Бібліотекар,узвіз Французьки,"узвіз Французький, буд. 303 кв. 875, Перевальськ, 13663",380796190706,havryloiakymchuk@example.org
Ґалаґан,Вікторія,Францівна,female,1959.3.29,Піаніст,шосе Нафтовикі,"шосе Нафтовиків, буд. 47 кв. 6, Соледар, 02397",380756298991,symon71@example.com
Литвин,Лесь,Владиславович,male,1993.2.8,Кінолог,вулиця Маяковськог,"вулиця Маяковського, буд. 227, Хотин, 47322",380717088277,tsliusar@example.net
Щербак,Теодор,Валерійович,male,1942.9.21,Педагог,площа Каркашадз,"площа Каркашадзе, буд. 18, Костопіль, 93741",380560859247,hryhorii36@example.net
Чорновіл,Єва,Демидівна,female,2007.12.8,Ходить до школи,проспект Дружни,"проспект Дружний, буд. 272 кв. 5, Мена , 72597",380660596674,mykytasaienko@example.net
Цибуленко,Дмитро,Микитович,male,1963.3.25,Швачка,парк Новиков міс,"парк Новиков міст, буд. 5, Очаків, 73527",380522102565,kovalenkoustym@example.org
Гунько,Емілія,Ааронівна,female,1995.2.24,Ді-джей,проспект Шкодова гор,"проспект Шкодова гора, буд. 72 кв. 9, Баштанка, 42971",380906829306,herman92@example.com
Калениченко,Орхип,Юхимович,male,1950.10.23,Педагог,узвіз Ремонтн,"узвіз Ремонтна, буд. 1, Алчевськ, 72148",380590561262,ivasiukpetro@example.com
Сагаль,Орест,Вадимович,male,1990.11.26,Гірничий інженер,шосе Олександра Невськог,"шосе Олександра Невського, буд. 1 кв. 95, Молодогвардійськ, 01565",380726935963,redkotaras@example.net
Верхола,Варвара,Юхимівна,female,1980.5.15,Епідеміолог,узвіз Заводська 1-ш,"узвіз Заводська 1-ша, буд. 5, Гребінка, 64004",380782327439,teodoravramenko@example.org
Дубина,Олександр,Захарович,male,1979.3.16,Кінорежисер,площа Кифоренка Борис,"площа Кифоренка Бориса, буд. 5, Ровеньки, 80622",380843238587,bdanko@example.net
Ткач,Клавдія,Вікторівна,female,2007.10.16,Ходить на підробіток та дошколи,провулок Роздольн,"провулок Роздольна, буд. 2, Верхньодніпровськ, 37926",380921274109,arkadii18@example.net
Тесля,Болеслав,Миронович,male,1972.4.3,Скульптор,сквер Спартаківськ,"сквер Спартаківська, буд. 98, Червоноград, 75490",380525137776,ruslanbabych@example.com
Хорішко,Варфоломій,Трохимович,male,1972.2.13,Науковець,парк Сирітськи,"парк Сирітський, буд. 414, Перещепине, 18592",380663175262,ziashchenko@example.net
Баранець,Пріска,Мирославівна,female,1961.2.15,Психолог,парк Лип Івана та Юрі,"парк Лип Івана та Юрія, буд. 2, Коломия, 19414",380985521867,tvalenko@example.org
Ткач,Опанас,Леонідович,male,1966.1.12,Зоолог,парк Яблочкіно,"парк Яблочкіної, буд. 2 кв. 1, Болехів, 68900",380729327602,umanetsmarusia@example.com
Носенко,Софія,Вікторівна,female,1957.3.9,Маркетолог,узвіз Неплі,"узвіз Неплія, буд. 625 кв. 809, Торецьк, 29224",380619942863,azar05@example.com
Павленко,Варфоломій,Олегович,male,1983.1.16,Фармацевт,провулок Рожев,"провулок Рожева, буд. 945 кв. 08, Судова Вишня, 12939",380819068241,maksym52@example.org
Ватаманюк,Охрім,Русланович,male,1994.12.24,Дантист,площа Банни,"площа Банний, буд. 280, Деражня, 48014",380821249317,mykytaudovenko@example.net
Базилевич,Емілія,Яремівна,female,1960.2.10,Парфюмер,набережна Велика Садов,"набережна Велика Садова, буд. 74, Федорівка, 88346",380765348857,dankoleon@example.net
Устенко,Антон,Юстимович,male,1944.3.12,Музичний редактор,узвіз Богдана Хмельницьког,"узвіз Богдана Хмельницького, буд. 012 кв. 680, Білицьке, 37294",380514380964,marianaiakovenko@example.org
Василечко,Марта,Леопольдівна,female,1986.2.19,Реставратор,вулиця Скрипкови,"вулиця Скрипковий, буд. 943, Сколе, 11511",380899647781,sliusarvira@example.org
Савенко,Левко,Стефанович,male,2002.1.22,Письменник,парк Авіаторі,"парк Авіаторів, буд. 234, Єнакієве, 98434",380559455627,ihnathaievska@example.net
Супруненко,Степан,Стефанович,male,2005.12.23,Ходить в університет,парк Студентський 1-,"парк Студентський 1-й, буд. 798 кв. 785, Благовіщенське, 59359",380836809684,klyment75@example.org
